year,clean_pct,polluted_pct
2000,32.5,15.0
2001,48.333333333333336,17.5
2002,57.49999999999999,18.33333333333333
2003,63.33333333333333,12.5
2004,54.16666666666666,15.0
2005,52.73972602739726,19.17808219178082
2006,65.75342465753424,15.068493150684931
2007,65.73426573426573,8.391608391608392
2008,55.24475524475524,12.587412587412588
2009,19.58041958041958,29.37062937062937
2010,8.391608391608392,36.36363636363637
2011,2.142857142857143,40.71428571428572
2012,8.571428571428571,42.142857142857146
2013,0.0,67.14285714285714
2014,0.0,89.28571428571429
2015,0.0,86.42857142857143
2016,0.0,92.14285714285714
2017,0.0,64.28571428571429
2018,37.76223776223776,36.36363636363637
2019,36.80555555555556,36.11111111111111
2020,57.638888888888886,10.416666666666668
2021,86.11111111111111,6.25
