year,bod5_clean,nh3n_clean,ss_clean
2000,32.5,41.66666666666667,35.0
2001,48.333333333333336,44.16666666666666,47.5
2002,57.49999999999999,42.5,65.0
2003,63.33333333333333,45.0,62.5
2004,54.16666666666666,35.833333333333336,65.0
2005,52.73972602739726,33.56164383561644,61.64383561643836
2006,65.75342465753424,33.56164383561644,57.53424657534247
2007,65.73426573426573,33.56643356643357,43.35664335664335
2008,55.24475524475524,50.349650349650354,39.86013986013986
2009,19.58041958041958,39.16083916083916,37.76223776223776
2010,8.391608391608392,24.47552447552448,47.55244755244755
2011,2.142857142857143,29.28571428571429,56.42857142857143
2012,8.571428571428571,25.0,68.57142857142857
2013,0.0,29.28571428571429,75.0
2014,0.0,29.28571428571429,70.71428571428572
2015,0.0,22.857142857142858,76.42857142857142
2016,0.0,13.571428571428571,62.142857142857146
2017,0.0,7.857142857142857,46.42857142857143
2018,37.76223776223776,3.4965034965034967,49.65034965034965
2019,36.80555555555556,8.333333333333332,54.16666666666666
2020,57.638888888888886,19.444444444444446,76.38888888888889
2021,86.11111111111111,40.27777777777778,88.19444444444444
