year,bod5,nh3n,ss
2000,15.0,18.33333333333333,44.16666666666666
2001,17.5,20.0,31.666666666666664
2002,18.33333333333333,24.166666666666668,23.33333333333333
2003,12.5,24.166666666666668,23.33333333333333
2004,15.0,25.0,25.833333333333336
2005,19.17808219178082,29.45205479452055,23.28767123287671
2006,15.068493150684931,28.08219178082192,28.767123287671232
2007,8.391608391608392,25.174825174825177,29.37062937062937
2008,12.587412587412588,23.07692307692308,37.06293706293706
2009,29.37062937062937,27.972027972027973,39.86013986013986
2010,36.36363636363637,29.37062937062937,33.56643356643357
2011,40.71428571428572,25.0,25.0
2012,42.142857142857146,27.142857142857142,11.428571428571429
2013,67.14285714285714,29.28571428571429,7.857142857142857
2014,89.28571428571429,28.57142857142857,13.571428571428571
2015,86.42857142857143,30.714285714285715,14.285714285714285
2016,92.14285714285714,27.142857142857142,21.428571428571427
2017,64.28571428571429,30.714285714285715,21.428571428571427
2018,36.36363636363637,34.96503496503497,28.671328671328677
2019,36.11111111111111,40.27777777777778,20.833333333333336
2020,10.416666666666668,29.166666666666668,13.88888888888889
2021,6.25,34.02777777777778,6.944444444444445
